texto_original,texto_limpo,tokens,comentarios,likes,compartilhamentos,repostagens,total,data_hora,author_handle,author_displayName,image_ref
"More than 40,000 federal workers have raised their hands to resign, putting the Trump administration at risk of falling short of its target for slashing the government through voluntary measures",federal workers raised hands resign putting trump administration risk falling short target slashing government voluntary measures,"['federal', 'workers', 'raised', 'hands', 'resign', 'putting', 'trump', 'administration', 'risk', 'falling', 'short', 'target', 'slashing', 'government', 'voluntary', 'measures']",16,31,17,5,69,2025-02-06T12:52:20.354Z,wsj.com,The Wall Street Journal,False
"Steve Bannon has returned as a leading voice in Trump World through his right-wing podcast, “War Room.” 

Bannon said President Trump won't be tied to the first 100 days or limited during a midterm election year. ⁠
⁠
See the full conversation: on.wsj.com/3CFbPYM",steve bannon returned leading voice trump world rightwing podcast war room bannon said president trump wont tied first days limited midterm election year see full conversation onwsjcomcfbpym,"['steve', 'bannon', 'returned', 'leading', 'voice', 'trump', 'world', 'rightwing', 'podcast', 'war', 'room', 'bannon', 'said', 'president', 'trump', 'wont', 'tied', 'first', 'days', 'limited', 'midterm', 'election', 'year', 'see', 'full', 'conversation', 'onwsjcomcfbpym']",12,9,3,2,26,2025-02-06T11:40:03.967Z,wsj.com,The Wall Street Journal,False
What’s the best restaurant loyalty app? It depends on what kind of diner you are,whats best restaurant loyalty app depends kind diner,"['whats', 'best', 'restaurant', 'loyalty', 'app', 'depends', 'kind', 'diner']",9,12,1,1,23,2025-02-06T03:09:02.958Z,wsj.com,The Wall Street Journal,False
"Government agencies are moving with lightning speed to implement President Trump’s directives to roll back transgender rights, prompting a series of lawsuits unfolding by the day",government agencies moving lightning speed implement president trumps directives roll back transgender rights prompting series lawsuits unfolding day,"['government', 'agencies', 'moving', 'lightning', 'speed', 'implement', 'president', 'trumps', 'directives', 'roll', 'back', 'transgender', 'rights', 'prompting', 'series', 'lawsuits', 'unfolding', 'day']",35,93,32,5,165,2025-02-05T23:25:02.557Z,wsj.com,The Wall Street Journal,False
How your home can shelter you from taxes with the breaks bestowed by Congress.,home shelter taxes breaks bestowed congress,"['home', 'shelter', 'taxes', 'breaks', 'bestowed', 'congress']",6,20,6,2,34,2025-02-05T22:55:04.150Z,wsj.com,The Wall Street Journal,False
Attorney General Pam Bondi moved swiftly Wednesday to marshal the Justice Department toward President Trump’s desire to investigate his past legal adversaries,attorney general pam bondi moved swiftly wednesday marshal justice department toward president trumps desire investigate past legal adversaries,"['attorney', 'general', 'pam', 'bondi', 'moved', 'swiftly', 'wednesday', 'marshal', 'justice', 'department', 'toward', 'president', 'trumps', 'desire', 'investigate', 'past', 'legal', 'adversaries']",53,61,34,10,158,2025-02-05T22:40:02.052Z,wsj.com,The Wall Street Journal,False
Exclusive: The Trump administration is considering a move to repel asylum seekers at the southern border on the basis that they might bring measles or tuberculosis infections with them into the U.S.,exclusive trump administration considering move repel asylum seekers southern border basis might bring measles tuberculosis infections us,"['exclusive', 'trump', 'administration', 'considering', 'move', 'repel', 'asylum', 'seekers', 'southern', 'border', 'basis', 'might', 'bring', 'measles', 'tuberculosis', 'infections', 'us']",50,41,27,18,136,2025-02-05T22:18:34.748Z,wsj.com,The Wall Street Journal,False
President Trump’s proposal to take long-term control of Gaza marked a rare moment of discord in a largely unified Republican party,president trumps proposal take longterm control gaza marked rare moment discord largely unified republican party,"['president', 'trumps', 'proposal', 'take', 'longterm', 'control', 'gaza', 'marked', 'rare', 'moment', 'discord', 'largely', 'unified', 'republican', 'party']",22,69,31,3,125,2025-02-05T22:07:16.462Z,wsj.com,The Wall Street Journal,False
"If you’re negotiating the purchase or sale of a home, either on your own or in conjunction with a real-estate agent, here are some things to consider.",youre negotiating purchase sale home either conjunction realestate agent things consider,"['youre', 'negotiating', 'purchase', 'sale', 'home', 'either', 'conjunction', 'realestate', 'agent', 'things', 'consider']",7,15,3,0,25,2025-02-05T21:56:03.060Z,wsj.com,The Wall Street Journal,False
"As egg prices have skyrocketed due to bird flu, some restaurants are passing on the added cost—by asking customers to pay per egg",egg prices skyrocketed due bird flu restaurants passing added costby asking customers pay per egg,"['egg', 'prices', 'skyrocketed', 'due', 'bird', 'flu', 'restaurants', 'passing', 'added', 'costby', 'asking', 'customers', 'pay', 'per', 'egg']",6,30,12,5,53,2025-02-05T21:25:02.262Z,wsj.com,The Wall Street Journal,False
What the sigma? Younger generations are taking slang to a dizzying new level. “It’s kind of like a foreign language.”,sigma younger generations taking slang dizzying new level kind like foreign language,"['sigma', 'younger', 'generations', 'taking', 'slang', 'dizzying', 'new', 'level', 'kind', 'like', 'foreign', 'language']",11,24,3,3,41,2025-02-05T20:45:02.866Z,wsj.com,The Wall Street Journal,False
"It took nearly 50 years, but half of private-sector workers are saving in 401(k)s for the first time",took nearly years half privatesector workers saving ks first time,"['took', 'nearly', 'years', 'half', 'privatesector', 'workers', 'saving', 'ks', 'first', 'time']",12,24,6,1,43,2025-02-05T20:25:04.347Z,wsj.com,The Wall Street Journal,False
Exclusive: Google is eliminating minority hiring goals and will review its DEI programs,exclusive google eliminating minority hiring goals review dei programs,"['exclusive', 'google', 'eliminating', 'minority', 'hiring', 'goals', 'review', 'dei', 'programs']",24,34,23,9,90,2025-02-05T20:18:08.665Z,wsj.com,The Wall Street Journal,False
"A member of the National Labor Relations Board fired by President Trump sued him Wednesday, setting up a high-stakes battle over whether federal law limiting the president’s power to remove top executive-branch officials is constitutional",member national labor relations board fired president trump sued wednesday setting highstakes battle whether federal law limiting presidents power remove top executivebranch officials constitutional,"['member', 'national', 'labor', 'relations', 'board', 'fired', 'president', 'trump', 'sued', 'wednesday', 'setting', 'highstakes', 'battle', 'whether', 'federal', 'law', 'limiting', 'presidents', 'power', 'remove', 'top', 'executivebranch', 'officials', 'constitutional']",16,596,121,6,739,2025-02-05T19:35:02.351Z,wsj.com,The Wall Street Journal,False
"The beloved would-be curmudgeon has a few crucial soft spots: his family, the magic of cinema—and a collection of novelty mugs 🔗 https://on.wsj.com/3Q1xQ7k",beloved wouldbe curmudgeon crucial soft spots family magic cinemaand collection novelty mugs,"['beloved', 'wouldbe', 'curmudgeon', 'crucial', 'soft', 'spots', 'family', 'magic', 'cinemaand', 'collection', 'novelty', 'mugs']",1,46,2,1,50,2025-02-05T19:13:03.052Z,wsj.com,The Wall Street Journal,True
Democrats are focusing their fire on Elon Musk—not President Trump—as they push back against the administration’s lightning-fast moves to dismantle parts of the government.,democrats focusing fire elon musknot president trumpas push back administrations lightningfast moves dismantle parts government,"['democrats', 'focusing', 'fire', 'elon', 'musknot', 'president', 'trumpas', 'push', 'back', 'administrations', 'lightningfast', 'moves', 'dismantle', 'parts', 'government']",30,95,16,3,144,2025-02-05T18:30:22.070Z,wsj.com,The Wall Street Journal,False
"It’s OK to be a newly fearful flier, but there are ways to cope.",ok newly fearful flier ways cope,"['ok', 'newly', 'fearful', 'flier', 'ways', 'cope']",6,18,1,1,26,2025-02-05T18:04:02.453Z,wsj.com,The Wall Street Journal,False
